instance,num_var,num_rep,num_steps,compress,runtime,gap,best_energy,gnd_energy,success_prob,best_solution
precision_2_timepoints_3.coo,24,16,100,false,17.019694697,1.1397592816333961,-86.73700714111328,-87.73699771600796,0.0,-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1
precision_2_timepoints_4.coo,32,16,100,false,0.15780707,2.2949877163883956,-125.17431640625,-128.1145291122858,0.0,-1;1;-1;1;1;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;1;1;-1;1;-1;-1;-1;-1;-1;1;-1;1;-1;1;-1;1;1
precision_2_timepoints_5.coo,40,16,100,false,0.002305173,2.6512211413250433,-164.02496337890625,-168.49206050856347,0.0,-1;1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;1;1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;1;-1
precision_3_timepoints_3.coo,36,16,100,false,0.002242972,1.5560342363939486,-109.77185821533203,-111.5069444468823,0.0,-1;1;-1;-1;1;-1;-1;1;1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;-1;-1;1;1;1;-1;1;-1;1;-1;1;-1;1;-1;-1;-1
precision_3_timepoints_4.coo,48,16,100,false,0.00214965,2.4367943234686438,-158.7116241455078,-162.67569627807504,0.0,-1;1;-1;-1;1;-1;-1;1;1;-1;1;-1;-1;1;1;-1;1;-1;-1;-1;-1;-1;1;-1;1;-1;1;-1;1;1;-1;1;-1;-1;1;1;-1;1;-1;-1;1;-1;1;-1;1;-1;1;1
precision_3_timepoints_5.coo,60,16,100,false,0.002314622,2.418905529376737,-208.6717529296875,-213.84444810926774,0.0,1;-1;1;-1;-1;1;-1;-1;-1;-1;1;1;-1;1;1;-1;-1;1;1;1;-1;-1;-1;1;-1;-1;-1;-1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;-1;1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;1;1;-1
precision_4_timepoints_3.coo,48,16,100,false,0.163097251,1.7882222655677686,-123.359619140625,-125.60572874894224,0.0,-1;1;-1;1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;-1;1;-1;1;1;-1;-1;1;1;-1;-1;-1;1;-1;1;1;-1;-1;1;1;1;-1;1;-1;1;1;1;-1;1;-1;1;-1;-1
precision_4_timepoints_4.coo,64,16,100,false,0.00259609,2.0936921051525683,-179.29330444335938,-183.12742896598917,0.0,-1;1;-1;-1;-1;-1;1;-1;-1;-1;1;-1;-1;1;1;1;1;-1;-1;-1;-1;1;-1;1;-1;-1;1;-1;-1;-1;1;-1;-1;-1;1;1;-1;1;-1;1;1;-1;-1;-1;-1;1;-1;1;-1;-1;-1;1;-1;-1;1;1;-1;-1;-1;-1;-1;1;-1;-1
precision_4_timepoints_5.coo,80,16,100,false,0.003915029,3.6097760733463122,-231.9622344970703,-240.6491291830358,0.0,-1;1;-1;1;-1;-1;1;1;-1;1;1;1;-1;-1;1;1;-1;-1;1;-1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;1;1;-1;-1;1;-1;1;-1;1;1;-1;-1;1;-1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;-1;1;1;-1;-1;1;1;1;-1;1;-1;1;-1;1;1;-1;-1;-1;1;-1
precision_2_timepoints_3.coo,24,16,1000,false,0.032910882,2.0308741861000406,-85.95516967773438,-87.73699771600796,0.0,-1;1;-1;1;1;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;1;1;-1;1;-1;-1;-1;-1;-1
precision_2_timepoints_4.coo,32,16,1000,false,0.025643956,1.8603223348001217,-125.73118591308594,-128.1145291122858,0.0,-1;1;1;-1;-1;1;-1;-1;-1;1;-1;1;-1;-1;1;1;1;1;-1;1;-1;1;-1;-1;-1;1;-1;1;1;1;1;-1
precision_2_timepoints_5.coo,40,16,1000,false,0.016668244,2.1165678253451548,-164.92581176757812,-168.49206050856347,0.0,-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;1;-1
