type,instance,num_var,num_rep,num_steps,compress,runtime,gap,best_energy,gnd_energy,success_prob,best_solution
6,precision_2_timepoints_2.coo,64,8,1000,false,0.053119884,4.0,-144.0,-150.0,0.0,-1;1;-1;1;1;-1;-1;1;-1;1;1;-1;-1;1;-1;1;-1;1;1;-1;-1;1;-1;1;-1;1;-1;1;1;-1;-1;-1;1;1;1;-1;1;-1;-1;1;-1;1;1;-1;-1;1;-1;1;-1;1;1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;-1
6,precision_2_timepoints_3.coo,96,8,1000,false,0.041350867,1.094890510948905,-271.0,-274.0,0.0,-1;1;-1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;1;-1;-1;-1;1;1;1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;1;-1;-1;1
6,precision_2_timepoints_4.coo,128,8,1000,false,0.036440813,1.7587939698492463,-391.0,-398.0,0.0,1;-1;-1;1;-1;1;1;-1;1;-1;1;-1;1;-1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;1;1;1;1;1;1;1;1;-1;-1;1;1;-1;1;1;1;-1;1;-1;1;-1;1;-1;1;1;-1;-1;-1;-1;1;-1;1;1;1;1;1;1;1;1;1;-1;-1;1;1;-1;1;1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;1;1;1;1;1;1;1;1;-1;-1;1;1;-1;1;1;1;-1;1;-1;1;-1;1;-1;1;-1;-1
6,precision_2_timepoints_5.coo,160,8,1000,false,0.028276934,1.9157088122605364,-512.0,-522.0,0.0,1;-1;-1;-1;-1;1;-1;1;1;-1;-1;1;1;-1;-1;1;1;-1;-1;-1;-1;1;-1;-1;-1;1;-1;1;1;-1;-1;-1;1;-1;1;-1;-1;1;-1;1;1;1;-1;1;1;-1;-1;1;1;-1;-1;-1;-1;1;-1;-1;-1;1;-1;1;1;-1;1;-1;-1;-1;1;-1;-1;1;-1;1;1;1;-1;1;1;-1;-1;1;1;-1;-1;-1;-1;1;-1;-1;-1;1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;-1;1;-1;1;1;1;-1;1;1;-1;-1;1;-1;1;-1;-1;-1;1;-1;-1;-1;1;-1;1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;1;1;1;-1;1;1;-1;-1;1;-1;1;-1;-1;-1;1;-1;-1;-1;1;-1;1;1;-1;-1;-1
6,precision_2_timepoints_2.coo,64,8,10000,false,0.28478923,4.666666666666667,-143.0,-150.0,0.0,1;-1;-1;1;-1;1;1;-1;-1;1;-1;1;-1;1;1;-1;1;-1;-1;1;1;-1;-1;1;1;-1;1;-1;-1;1;1;-1;-1;-1;-1;1;-1;1;1;-1;-1;1;-1;1;-1;1;1;1;1;1;-1;1;1;1;-1;1;1;-1;1;-1;-1;1;1;-1
6,precision_2_timepoints_3.coo,96,8,10000,false,0.313488014,4.014598540145985,-263.0,-274.0,0.0,-1;1;-1;1;1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;-1;-1;-1;1;-1;-1;-1;1;1;1;-1;-1;1;1;-1;-1;1;-1;1;1;1;-1;1;-1;1;-1;1;1;-1;-1;1;-1;1;-1;-1;1;-1;-1;1;1;1;1;-1;-1;1;1;-1;-1;1;-1;1;1;1;-1;1;-1;1;-1;1;1;1;-1;1;1;-1;1;-1
6,precision_2_timepoints_4.coo,128,8,10000,false,0.313970382,3.5175879396984926,-384.0,-398.0,0.0,1;-1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;1;-1;-1;1;-1;1;-1;-1;-1;-1;1;-1;-1;-1;1;-1;1;-1;-1;1;-1;1;1;-1;-1;-1;-1;-1;1;1;-1;-1;1;1;-1;1;-1;1;-1;-1;-1;-1;1;1;-1;-1;1;1;1;-1;1;-1;-1;-1;1;-1;-1;-1;-1;-1;1;1;-1;-1;1;1;-1;1;1;-1;-1;-1;-1;-1;1;1;-1;-1;1;1;-1;-1;-1;1;-1;1;-1;-1;-1;-1;-1;-1;1;1;-1;-1;1;1;-1;1;1;1;-1;-1;-1;-1;1;1;-1;-1;1;1;-1;-1;-1;-1
6,precision_2_timepoints_5.coo,160,8,10000,false,0.304395193,2.490421455938697,-509.0,-522.0,0.0,1;-1;-1;1;1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;1;1;-1;-1;1;1;-1;-1;-1;1;-1;-1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;-1;-1;1;1;-1;-1;-1;-1;1;1;1;-1;-1;1;1;-1;-1;-1;1;-1;-1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;-1;1;-1;1;-1;-1;-1;1;-1;1;1;-1;-1;1;1;-1;-1;1;-1;-1;-1;1;-1;-1;1;-1;-1;-1;1;-1;1;-1;-1;-1;1;-1;-1;1;-1;-1;1;1;1;-1;-1;1;1;-1;-1;1;-1;-1;-1;1;-1;-1;1;-1;-1;-1;1;-1;1;-1;-1;-1;-1;-1;-1
6,precision_2_timepoints_2.coo,64,16,1000,false,0.030324644,2.0,-147.0,-150.0,0.0,-1;1;-1;1;1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;1;-1;-1;1;-1;1;-1;1;-1;1;1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;1;1;-1;1;-1;1
6,precision_2_timepoints_3.coo,96,16,1000,false,0.034739115,3.2846715328467155,-265.0,-274.0,0.0,-1;1;-1;1;-1;1;-1;1;-1;1;1;-1;-1;-1;-1;-1;-1;1;-1;1;1;-1;-1;1;-1;1;-1;1;1;-1;1;-1;-1;-1;1;-1;-1;1;-1;1;1;-1;1;-1;-1;-1;-1;-1;-1;1;-1;1;1;-1;-1;1;-1;1;-1;1;-1;1;-1;-1;1;1;-1;1;-1;1;-1;1;1;1;1;-1;-1;-1;-1;-1;-1;1;-1;1;1;-1;-1;1;-1;1;-1;1;-1;-1;-1;-1
6,precision_2_timepoints_4.coo,128,16,1000,false,0.033655777,1.7587939698492463,-391.0,-398.0,0.0,1;-1;-1;1;-1;1;-1;-1;-1;1;-1;-1;-1;1;-1;1;1;-1;-1;1;1;-1;-1;1;-1;1;1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;-1;-1;1;-1;-1;-1;1;-1;1;1;-1;-1;1;1;1;-1;1;-1;1;1;1;-1;1;1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;1;-1;-1;-1;1;-1;1;1;-1;-1;1;1;1;-1;1;-1;1;1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;-1;-1;1;-1;-1;-1;1;-1;1;1;-1;-1;1;1;1;-1;1;-1;1;1;1;1;-1;-1;-1
6,precision_2_timepoints_5.coo,160,16,1000,false,0.032826459,1.7241379310344827,-513.0,-522.0,0.0,1;-1;-1;1;1;-1;-1;1;-1;1;-1;1;1;-1;-1;1;1;-1;1;-1;1;-1;-1;1;-1;1;-1;1;1;-1;-1;-1;1;-1;1;-1;1;-1;-1;1;-1;1;-1;1;1;-1;-1;1;1;1;1;-1;1;1;-1;1;-1;1;-1;1;-1;1;1;-1;-1;-1;-1;1;1;-1;-1;1;-1;1;-1;1;1;-1;-1;1;1;1;1;-1;1;1;1;-1;-1;1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;1;-1;1;-1;1;1;-1;-1;1;1;1;1;-1;1;1;1;1;-1;1;-1;1;-1;1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;1;-1;1;1;-1;-1;1;1;1;1;-1;1;1;1;1;-1;1;-1;1;1;-1;-1;-1
6,precision_2_timepoints_2.coo,64,16,10000,false,0.311233337,4.0,-144.0,-150.0,0.0,1;-1;1;-1;-1;1;1;-1;-1;1;-1;1;1;-1;-1;1;-1;1;1;-1;-1;1;1;-1;-1;1;-1;1;-1;1;1;-1;-1;-1;-1;1;-1;1;1;-1;-1;1;-1;1;1;-1;-1;1;-1;1;1;-1;-1;1;1;1;-1;1;-1;1;-1;-1;1;-1
6,precision_2_timepoints_3.coo,96,16,10000,false,0.303974815,1.4598540145985401,-270.0,-274.0,0.0,1;-1;-1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;1;-1;-1;1;-1;1;1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;1;-1;-1;1
6,precision_2_timepoints_4.coo,128,16,10000,false,0.32760242,2.763819095477387,-387.0,-398.0,0.0,-1;1;-1;1;1;-1;-1;1;-1;1;1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;1;-1;-1;1;-1;1;1;1;1;-1;-1;1;-1;-1;1;1;-1;1;-1;-1;-1;1;-1;1;-1;1;-1;-1;1;-1;-1;1;1;-1;1;-1;-1;1;1;1;1;-1;-1;1;-1;-1;1;1;1;-1;-1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;1;-1;1;-1;-1;1;1;1;1;-1;-1;1;-1;-1;1;1;1;1;-1;-1;-1;1;-1;1;-1;1;1;-1
6,precision_2_timepoints_5.coo,160,16,10000,false,0.309602964,2.8735632183908044,-507.0,-522.0,0.0,-1;1;-1;-1;1;-1;-1;1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;1;-1;1;-1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;1;-1;-1;1;1;-1;1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;1;-1;1;-1;-1;-1;1;-1;-1;1;-1;-1;-1;1;-1;1;-1;1;1;1;-1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;1;-1;1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1;1;1;-1;1;1;1;1;-1;1;-1;1;-1;-1;1;-1;1;-1;-1;1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;1;1;1;1;-1;1;-1;1;-1;-1;1;1;1;1;-1;1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;-1;1
6,precision_2_timepoints_2.coo,64,32,1000,false,0.026976805,1.3333333333333335,-148.0,-150.0,0.0,1;-1;-1;1;-1;1;1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;1;1;-1;1;-1;1;-1;1;1;-1
6,precision_2_timepoints_3.coo,96,32,1000,false,0.03882793,1.824817518248175,-269.0,-274.0,0.0,-1;1;-1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;1;1;-1;1;1;-1;-1;-1;1;-1;1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;1;1;-1;1;1;-1;1;-1
