instance,num_var,num_rep,num_steps,compress,runtime,gap,best_energy,gnd_energy,success_prob,best_solution
precision_2_timepoints_3.coo,24,8,100,false,0.045355793,2.631578947368421,-74.0,-76.0,0.0,1;-1;-1;1;-1;-1;-1;-1;1;1;1;-1;1;-1;-1;1;-1;-1;-1;1;1;1;1;-1
precision_2_timepoints_3_embedded.coo,32,8,100,false,0.002582743,1.7191241379731543,-171.50753784179688,-174.5075390685065,0.0,1;1;-1;-1;-1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1;1;1;-1;-1;-1;-1;-1;-1;1;1;-1;-1;-1;-1;1;1
precision_2_timepoints_4.coo,32,8,100,false,0.002392713,3.6363636363636362,-106.0,-110.0,0.0,1;-1;1;-1;-1;-1;-1;1;1;-1;-1;1;1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;-1;1;1;-1;-1;-1
precision_2_timepoints_4_embedded.coo,45,8,100,false,0.002417206,1.7437779184844566,-281.7326965332031,-286.7326776511633,0.0,1;-1;1;-1;1;-1;1;-1;-1;-1;-1;-1;-1;-1;1;-1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;-1;-1
precision_2_timepoints_5.coo,40,8,100,false,0.002966096,2.7777777777777777,-140.0,-144.0,0.0,-1;1;-1;-1;-1;1;-1;1;-1;1;-1;1;-1;-1;-1;-1;1;-1;1;-1;-1;1;-1;1;-1;1;-1;1;1;-1;-1;1;-1;-1;-1;1;-1;1;-1;1
precision_2_timepoints_5_embedded.coo,54,8,100,false,0.002471032,0.5808507801838945,-342.3214416503906,-344.3214353942183,0.0,1;-1;-1;1;-1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;1;1;-1;-1;1;-1;-1;-1;-1;-1;-1;1;1;1;1;1;-1;-1;-1;-1;-1;-1;-1;1;1;-1;-1;-1;-1;1;1;1;-1;-1;1;-1;-1;1;-1
precision_2_timepoints_6.coo,48,8,100,false,0.002433197,2.247191011235955,-174.0,-178.0,0.0,1;-1;-1;-1;-1;-1;-1;1;1;-1;-1;1;1;-1;-1;-1;-1;-1;1;-1;1;-1;-1;1;-1;-1;-1;1;-1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;-1;-1;1;-1;-1;-1;-1
precision_2_timepoints_6_embedded.coo,67,8,100,false,0.009103412,1.9627329441717436,-449.54290771484375,-458.54287988143045,0.0,-1;1;1;-1;1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;1;-1;1;-1;1;1;-1;-1;1;1;1;-1;-1;-1;-1;-1;-1;1;1;-1;-1;1;1;-1;-1;1;1;-1;-1;1;1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;1;-1;1;-1;1;-1;1;-1;-1
precision_3_timepoints_3.coo,36,8,100,false,0.002393954,1.891891891891892,-90.75,-92.5,0.0,-1;1;1;-1;-1;1;-1;1;-1;-1;1;1;-1;1;-1;-1;-1;1;-1;1;-1;-1;-1;-1;-1;1;-1;1;-1;1;-1;1;1;-1;-1;-1
precision_3_timepoints_3_embedded.coo,56,8,100,false,0.002436022,0.1659826123598579,-308.7871398925781,-309.3005249839893,0.0,1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;-1;1;1;-1;-1;-1;-1;1;1;-1;-1;1;-1;1;-1;-1;-1;-1;1;1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;1;1;1
precision_3_timepoints_4.coo,48,8,100,false,0.002398515,5.075187969924812,-126.25,-133.0,0.0,-1;1;-1;-1;1;1;-1;1;-1;-1;1;-1;-1;1;1;-1;-1;-1;-1;-1;1;-1;1;1;1;-1;-1;-1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;1;-1;-1;1;-1;1;-1;-1;1
